,tier,blue_kill,blue_firstBlood,blue_gold,blue_towers,blue_firstTower,blue_firstDragon,first_dragon,blue_firstRiftHerald,gold_diff,rift_herald,dragons_count,fire_dragon,water_dragon,air_dragon,earth_dragon,blue_win
81,BRONZE,10,0,22637,1,1,1,EARTH_DRAGON,1,3919,0,2,0,0,1,1,1
82,BRONZE,6,0,21560,0,0,1,AIR_DRAGON,0,658,0,1,0,0,1,0,0
83,BRONZE,18,0,26278,1,1,1,AIR_DRAGON,1,6272,0,1,0,0,1,0,1
84,BRONZE,11,1,22004,0,0,1,WATER_DRAGON,0,-3040,0,2,1,1,0,0,0
85,BRONZE,9,0,25723,2,1,1,WATER_DRAGON,1,5345,1,1,0,1,0,0,1
86,BRONZE,3,0,20736,0,1,0,,0,-755,0,0,0,0,0,0,1
87,BRONZE,6,0,21171,0,1,1,WATER_DRAGON,1,1991,0,1,0,1,0,0,1
88,BRONZE,9,0,21495,0,1,1,FIRE_DRAGON,1,-363,0,1,1,0,0,0,1
89,BRONZE,8,0,21903,0,0,0,,0,-4151,0,0,0,0,0,0,0
90,BRONZE,5,1,20986,0,1,0,,0,-647,0,0,0,0,0,0,1
91,BRONZE,6,1,21290,0,0,1,AIR_DRAGON,0,3188,0,1,0,0,1,0,1
92,BRONZE,6,0,19565,0,0,0,,0,-2494,0,1,0,1,0,0,1
93,BRONZE,3,0,18966,0,0,0,,1,-6925,1,0,0,0,0,0,0
94,BRONZE,11,0,25151,1,1,0,,1,5340,1,1,1,0,0,0,1
95,BRONZE,3,1,18135,0,0,0,,0,-7801,0,0,0,0,0,0,0
96,BRONZE,8,1,20263,0,0,1,FIRE_DRAGON,1,-4750,1,2,1,0,1,0,0
97,BRONZE,10,0,21100,0,0,0,,1,-4063,0,0,0,0,0,0,0
98,BRONZE,7,1,20639,0,1,1,WATER_DRAGON,1,3327,1,2,0,1,0,1,1
99,BRONZE,17,1,27186,2,1,1,WATER_DRAGON,1,10330,1,1,0,1,0,0,1
100,BRONZE,10,0,22985,0,1,1,FIRE_DRAGON,1,3764,1,1,1,0,0,0,1
101,BRONZE,8,0,21583,0,0,0,,1,-379,0,0,0,0,0,0,0
102,BRONZE,5,0,19819,0,0,0,,0,-3883,0,0,0,0,0,0,0
103,BRONZE,7,1,19907,0,1,0,,1,-121,1,0,0,0,0,0,1
104,BRONZE,7,1,19575,0,0,0,,0,-9111,0,0,0,0,0,0,0
105,BRONZE,8,0,20555,0,0,0,,0,-3352,0,0,0,0,0,0,0
106,BRONZE,13,1,23886,0,0,1,FIRE_DRAGON,0,1062,0,1,1,0,0,0,1
107,BRONZE,7,0,20426,0,0,1,WATER_DRAGON,0,-8505,0,1,0,1,0,0,0
108,BRONZE,10,0,23674,1,1,1,EARTH_DRAGON,1,2059,0,1,0,0,0,1,1
109,BRONZE,13,0,23905,0,1,1,AIR_DRAGON,0,-63,0,1,0,0,1,0,0
110,BRONZE,7,1,22262,0,0,1,EARTH_DRAGON,1,2442,1,1,0,0,0,1,1
111,BRONZE,9,0,22424,1,1,1,EARTH_DRAGON,0,-676,0,1,0,0,0,1,1
112,BRONZE,10,1,22399,0,0,1,WATER_DRAGON,1,-1111,1,1,0,1,0,0,0
113,BRONZE,10,1,23892,0,1,0,,0,2647,0,0,0,0,0,0,1
114,BRONZE,4,0,19448,0,0,0,,0,-9215,0,0,0,0,0,0,0
115,BRONZE,7,1,20464,0,0,0,,1,-409,1,0,0,0,0,0,1
116,BRONZE,5,1,19988,0,0,1,WATER_DRAGON,0,-6528,0,1,0,1,0,0,0
117,BRONZE,11,1,22712,0,0,1,EARTH_DRAGON,0,-607,0,1,0,0,0,1,1
118,BRONZE,10,1,23155,0,0,1,EARTH_DRAGON,0,-1108,0,1,0,0,0,1,0
119,BRONZE,6,0,22422,1,0,0,,1,-6830,1,0,0,0,0,0,0
120,BRONZE,5,0,17607,0,0,0,,0,-5464,0,0,0,0,0,0,0
121,BRONZE,5,0,18688,0,0,0,,0,-5102,0,0,0,0,0,0,0
122,BRONZE,19,1,29940,2,1,0,,1,12103,1,0,0,0,0,0,1
123,BRONZE,8,0,22659,0,1,1,FIRE_DRAGON,1,1821,1,1,1,0,0,0,1
124,BRONZE,11,0,21075,0,1,1,,0,-58,0,0,0,0,0,0,1
125,BRONZE,5,0,20565,0,1,0,,0,172,0,0,0,0,0,0,0
126,BRONZE,7,0,21056,0,1,1,AIR_DRAGON,0,1277,0,1,0,0,1,0,1
127,BRONZE,8,0,22491,0,1,1,,1,1929,0,0,0,0,0,0,1
128,BRONZE,15,1,23334,0,1,1,FIRE_DRAGON,1,3477,1,2,1,1,0,0,1
129,BRONZE,12,1,23087,0,1,1,AIR_DRAGON,1,-421,1,1,0,0,1,0,0
130,BRONZE,9,0,20244,0,0,0,,0,724,0,0,0,0,0,0,0
131,BRONZE,14,1,24100,0,1,1,FIRE_DRAGON,1,3169,0,1,1,0,0,0,1
132,BRONZE,11,1,21265,0,1,1,WATER_DRAGON,0,-65,0,1,0,1,0,0,1
133,BRONZE,7,0,21211,0,0,1,EARTH_DRAGON,0,-5195,0,1,0,0,0,1,0
134,BRONZE,13,0,24401,0,0,0,,1,-452,0,0,0,0,0,0,1
135,BRONZE,10,1,22355,0,0,0,,0,-251,0,0,0,0,0,0,1
136,BRONZE,6,1,18523,0,0,1,EARTH_DRAGON,0,-7198,0,1,0,0,0,1,0
137,BRONZE,10,1,26060,2,1,1,AIR_DRAGON,1,5651,1,2,0,0,1,1,1
138,BRONZE,8,0,20442,0,0,0,,0,-4574,0,0,0,0,0,0,1
139,BRONZE,8,0,20440,0,1,1,WATER_DRAGON,0,-240,0,1,0,1,0,0,1
140,BRONZE,7,0,19930,0,1,1,EARTH_DRAGON,1,1203,0,1,0,0,0,1,1
141,BRONZE,5,1,16999,0,0,0,,0,-6881,0,0,0,0,0,0,0
142,BRONZE,17,1,23134,0,1,1,AIR_DRAGON,1,1348,0,1,0,0,1,0,1
143,BRONZE,0,0,4239,0,0,0,,0,-446,0,0,0,0,0,0,0
144,BRONZE,10,1,23476,1,1,1,AIR_DRAGON,1,5776,0,1,0,0,1,0,1
145,BRONZE,7,0,19485,0,0,1,FIRE_DRAGON,0,-6092,0,1,1,0,0,0,0
146,BRONZE,10,1,22352,0,1,0,,0,1991,0,0,0,0,0,0,1
147,BRONZE,5,0,19277,0,0,0,,0,-5960,0,0,0,0,0,0,0
148,BRONZE,2,0,18329,0,0,0,,0,-4561,0,0,0,0,0,0,0
149,BRONZE,13,0,21395,0,0,0,,0,-5598,0,0,0,0,0,0,0
150,BRONZE,4,1,19168,0,0,0,,0,-4907,0,0,0,0,0,0,0
151,BRONZE,9,0,20221,0,0,0,,1,-2784,0,1,0,1,0,0,0
152,BRONZE,13,1,26248,1,1,1,AIR_DRAGON,1,5886,0,2,1,0,1,0,1
153,BRONZE,17,0,26256,1,1,1,WATER_DRAGON,0,7229,0,1,0,1,0,0,1
154,BRONZE,5,1,20374,0,0,0,,0,-1771,0,1,0,0,0,1,1
155,BRONZE,3,1,19808,0,0,1,WATER_DRAGON,1,-3233,1,1,0,1,0,0,0
156,BRONZE,17,1,26335,1,1,1,FIRE_DRAGON,1,5903,1,1,1,0,0,0,1
157,BRONZE,12,0,23116,0,0,0,,0,1340,0,0,0,0,0,0,1
158,BRONZE,7,1,22058,0,1,0,,0,-2349,0,0,0,0,0,0,1
159,BRONZE,6,1,20462,0,0,0,,0,-1391,0,0,0,0,0,0,1
160,BRONZE,12,0,25058,1,1,0,,1,3891,0,0,0,0,0,0,1
161,BRONZE,9,1,24020,0,1,0,,0,4595,0,0,0,0,0,0,1
162,BRONZE,12,1,24125,1,0,1,EARTH_DRAGON,0,1270,0,1,0,0,0,1,0
163,BRONZE,6,0,21321,0,0,1,FIRE_DRAGON,0,-4292,0,1,1,0,0,0,0
164,BRONZE,5,0,18155,0,0,0,,0,-8576,0,0,0,0,0,0,0
165,BRONZE,4,0,18441,0,0,1,EARTH_DRAGON,1,-9711,1,1,0,0,0,1,0
166,BRONZE,11,1,25125,2,1,0,,0,3224,0,0,0,0,0,0,1
167,BRONZE,14,1,25389,0,1,0,,1,6011,1,1,0,0,1,0,1
168,BRONZE,10,0,19703,0,0,0,,0,-6047,0,0,0,0,0,0,1
169,BRONZE,8,1,19688,0,0,1,AIR_DRAGON,1,-5490,0,1,0,0,1,0,0
170,BRONZE,6,0,21608,0,0,0,,1,1126,1,0,0,0,0,0,1
171,BRONZE,8,1,21579,0,1,0,,1,1176,0,0,0,0,0,0,1
172,BRONZE,6,0,20682,1,0,0,,0,-5847,0,0,0,0,0,0,0
173,BRONZE,8,0,20056,0,0,0,,0,-9398,0,0,0,0,0,0,0
174,BRONZE,9,1,21523,0,1,1,AIR_DRAGON,1,2909,1,1,0,0,1,0,1
175,BRONZE,13,0,23305,2,1,0,,0,4700,0,0,0,0,0,0,1
176,BRONZE,10,0,23681,0,1,1,EARTH_DRAGON,0,5343,0,1,0,0,0,1,1
177,BRONZE,6,1,20430,0,0,1,FIRE_DRAGON,0,-1088,0,1,1,0,0,0,0
178,BRONZE,15,1,25791,0,1,1,,1,5113,0,0,0,0,0,0,1
179,BRONZE,13,0,22712,0,0,0,,0,-6632,0,0,0,0,0,0,0
180,BRONZE,7,1,24820,2,1,1,WATER_DRAGON,1,8275,1,1,0,1,0,0,1
181,BRONZE,10,1,22396,0,1,0,,0,1145,0,0,0,0,0,0,0
182,BRONZE,5,0,17948,0,0,1,AIR_DRAGON,0,-5916,0,1,0,0,1,0,0
183,BRONZE,5,0,17835,0,0,1,FIRE_DRAGON,0,-9408,0,1,1,0,0,0,0
184,BRONZE,9,0,21017,0,0,0,,0,-2334,0,0,0,0,0,0,0
185,BRONZE,7,1,19683,0,0,0,,0,-4122,0,1,0,0,0,1,0
186,BRONZE,11,1,23435,0,1,1,FIRE_DRAGON,1,5572,1,1,1,0,0,0,1
187,BRONZE,5,0,20685,0,0,1,EARTH_DRAGON,1,544,0,1,0,0,0,1,1
188,BRONZE,15,1,24192,0,1,1,FIRE_DRAGON,0,5833,0,2,1,1,0,0,1
189,BRONZE,0,0,5017,0,0,0,,0,652,0,0,0,0,0,0,1
190,BRONZE,8,1,19013,0,0,0,,0,-3591,0,0,0,0,0,0,0
191,BRONZE,19,0,24032,1,1,1,WATER_DRAGON,0,3071,0,1,0,1,0,0,1
192,BRONZE,4,0,20813,1,1,0,,0,-2945,0,0,0,0,0,0,0
193,BRONZE,18,0,28223,1,1,0,,1,3597,1,0,0,0,0,0,0
194,BRONZE,16,0,25380,1,1,0,,0,3444,0,0,0,0,0,0,1
195,BRONZE,3,0,17810,0,0,0,,0,-4096,0,0,0,0,0,0,0
196,BRONZE,13,0,21655,0,1,1,FIRE_DRAGON,1,-607,1,1,1,0,0,0,0
197,BRONZE,8,1,22160,0,1,1,FIRE_DRAGON,0,3682,0,1,1,0,0,0,1
198,BRONZE,6,1,20503,0,0,0,,1,400,1,0,0,0,0,0,0
199,BRONZE,16,1,25025,0,1,1,WATER_DRAGON,0,5114,0,1,0,1,0,0,1
200,BRONZE,6,1,18832,0,0,0,,0,-6556,0,0,0,0,0,0,0
201,BRONZE,1,0,19038,0,1,1,WATER_DRAGON,1,-1851,1,2,1,1,0,0,0
202,BRONZE,11,1,24155,1,1,1,EARTH_DRAGON,1,7510,1,1,0,0,0,1,1
203,BRONZE,16,1,26732,1,1,1,AIR_DRAGON,1,5586,1,1,0,0,1,0,1
204,BRONZE,6,1,19122,0,0,1,,0,-5620,0,0,0,0,0,0,0
205,BRONZE,11,0,21621,0,0,1,FIRE_DRAGON,1,989,1,1,1,0,0,0,1
206,BRONZE,7,1,24528,2,1,1,WATER_DRAGON,1,5727,0,2,0,1,0,1,1
207,BRONZE,5,0,19867,0,0,0,,1,-2134,1,0,0,0,0,0,1
208,BRONZE,10,1,23767,1,1,1,FIRE_DRAGON,1,1720,1,1,1,0,0,0,1
209,BRONZE,16,0,26501,1,1,0,,0,1665,0,0,0,0,0,0,1
210,BRONZE,14,0,23613,1,1,0,,1,-2410,1,0,0,0,0,0,1
211,BRONZE,11,1,23623,1,1,0,,1,3463,1,0,0,0,0,0,1
212,BRONZE,7,0,21522,0,1,1,,1,1336,1,0,0,0,0,0,0
213,BRONZE,14,1,24682,0,1,1,WATER_DRAGON,1,2667,0,1,0,1,0,0,0
214,BRONZE,10,1,20701,0,1,1,FIRE_DRAGON,1,-2846,1,1,1,0,0,0,0
215,BRONZE,17,1,27138,2,1,1,EARTH_DRAGON,0,5335,0,1,0,0,0,1,1
216,BRONZE,16,1,25888,1,1,0,,0,8488,0,0,0,0,0,0,1
217,BRONZE,11,0,23299,0,1,1,FIRE_DRAGON,0,1813,0,1,1,0,0,0,1
218,BRONZE,6,0,18646,0,0,0,,0,-7444,0,0,0,0,0,0,0
219,BRONZE,8,1,21118,0,1,1,FIRE_DRAGON,1,-1140,1,1,1,0,0,0,0
220,BRONZE,8,1,23854,2,1,0,,1,2642,1,0,0,0,0,0,1
221,BRONZE,8,1,21239,0,0,0,,0,-5021,0,0,0,0,0,0,0
222,BRONZE,5,0,19466,0,0,0,,0,-6601,0,0,0,0,0,0,0
223,BRONZE,14,1,23110,0,0,0,,1,3586,0,1,1,0,0,0,1
224,BRONZE,12,0,23251,0,1,1,,0,971,0,0,0,0,0,0,1
225,BRONZE,14,1,24914,0,1,1,AIR_DRAGON,1,6582,1,2,0,0,1,1,1
226,BRONZE,5,0,19659,0,0,1,FIRE_DRAGON,0,-2952,0,1,1,0,0,0,1
227,BRONZE,4,0,18947,0,0,0,,1,-4311,0,0,0,0,0,0,0
228,BRONZE,7,1,21912,0,1,1,FIRE_DRAGON,0,-193,0,2,1,0,0,1,1
229,BRONZE,10,1,23322,2,0,0,,1,-603,1,0,0,0,0,0,0
230,BRONZE,10,0,24819,1,1,1,AIR_DRAGON,1,5006,1,1,0,0,1,0,1
231,BRONZE,9,1,21913,0,0,1,FIRE_DRAGON,1,838,1,2,1,0,1,0,0
232,BRONZE,15,0,25668,1,1,1,AIR_DRAGON,1,4215,1,1,0,0,1,0,1
233,BRONZE,13,1,24444,0,1,0,,0,6325,0,1,1,0,0,0,1
234,BRONZE,8,1,20127,0,0,0,,1,-4311,1,0,0,0,0,0,1
235,BRONZE,9,1,20196,0,0,0,,0,-5924,0,0,0,0,0,0,0
236,BRONZE,0,0,4444,0,0,0,,0,217,0,0,0,0,0,0,1
237,BRONZE,6,1,21610,1,0,0,,1,-1671,1,0,0,0,0,0,1
238,BRONZE,9,0,23374,0,1,1,,0,1577,0,0,0,0,0,0,0
239,BRONZE,13,0,24865,0,1,1,AIR_DRAGON,0,3196,0,1,0,0,1,0,1
240,BRONZE,9,1,23023,1,1,1,EARTH_DRAGON,1,2035,1,1,0,0,0,1,0
241,BRONZE,5,0,20289,0,0,0,,0,-4598,0,0,0,0,0,0,0
242,BRONZE,7,0,19703,0,0,1,FIRE_DRAGON,0,-3855,0,1,1,0,0,0,0
243,BRONZE,10,1,22778,0,1,1,AIR_DRAGON,1,1876,1,1,0,0,1,0,0
244,BRONZE,14,1,25877,0,1,1,EARTH_DRAGON,0,5053,0,2,1,0,0,1,1
245,BRONZE,14,1,24698,0,0,1,WATER_DRAGON,0,2345,0,1,0,1,0,0,1
246,BRONZE,6,0,21768,0,0,0,,1,-1289,1,0,0,0,0,0,1
247,BRONZE,3,0,17616,0,0,0,,0,-4415,0,0,0,0,0,0,0
248,BRONZE,12,1,23736,0,1,1,FIRE_DRAGON,1,1665,0,1,1,0,0,0,1
249,BRONZE,13,1,24540,0,0,1,WATER_DRAGON,0,1201,0,1,0,1,0,0,0
250,BRONZE,10,1,22585,1,1,0,,1,2975,1,0,0,0,0,0,1
251,BRONZE,7,0,20036,0,0,0,,1,-4874,1,0,0,0,0,0,0
252,BRONZE,15,1,27175,1,1,1,AIR_DRAGON,1,8732,1,2,0,1,1,0,1
253,BRONZE,6,1,20039,0,0,0,,0,-6167,0,0,0,0,0,0,0
254,BRONZE,13,1,23620,0,0,1,AIR_DRAGON,1,-1991,1,1,0,0,1,0,0
255,BRONZE,8,0,21611,0,1,1,FIRE_DRAGON,1,-371,0,1,1,0,0,0,1
256,BRONZE,14,0,24184,0,0,1,WATER_DRAGON,1,-1376,1,2,1,1,0,0,0
257,BRONZE,11,0,22946,1,1,1,EARTH_DRAGON,1,-94,0,2,0,0,1,1,1
258,BRONZE,10,0,23055,0,1,1,AIR_DRAGON,0,-2259,0,1,0,0,1,0,0
259,BRONZE,6,1,19666,0,0,0,,0,-6908,0,0,0,0,0,0,0
260,BRONZE,8,0,22175,1,1,0,,1,-2378,1,0,0,0,0,0,0
261,BRONZE,3,0,18947,0,0,0,,0,-8711,0,0,0,0,0,0,0
262,BRONZE,16,1,26603,1,1,1,FIRE_DRAGON,1,2300,0,1,1,0,0,0,1
263,BRONZE,16,0,25622,1,1,1,WATER_DRAGON,1,7262,1,1,0,1,0,0,1
264,BRONZE,16,1,27601,2,1,1,EARTH_DRAGON,0,8613,0,1,0,0,0,1,1
265,BRONZE,12,0,23374,0,1,0,,0,2302,0,0,0,0,0,0,1
266,BRONZE,9,0,22221,1,0,1,WATER_DRAGON,0,-3929,0,1,0,1,0,0,0
267,BRONZE,5,0,20272,0,1,0,,0,-407,0,0,0,0,0,0,0
268,BRONZE,11,1,23982,0,1,1,AIR_DRAGON,0,2022,0,1,0,0,1,0,1
269,BRONZE,0,0,4241,0,0,0,,0,298,0,0,0,0,0,0,1
270,BRONZE,1,0,5006,0,0,0,,0,60,0,0,0,0,0,0,1
271,BRONZE,10,0,22664,0,1,1,FIRE_DRAGON,0,-1934,0,1,1,0,0,0,1
272,BRONZE,4,0,19075,0,0,0,,0,-7109,0,0,0,0,0,0,0
273,BRONZE,5,0,19016,0,0,0,,0,-5296,0,0,0,0,0,0,0
274,BRONZE,13,1,24860,0,1,0,,1,8476,1,1,0,1,0,0,1
275,BRONZE,12,1,28758,3,1,1,EARTH_DRAGON,1,10026,1,1,0,0,0,1,1
276,BRONZE,14,0,25050,0,1,0,,1,1451,0,1,0,0,1,0,0
277,BRONZE,8,0,20849,0,0,0,,0,-1409,0,0,0,0,0,0,1
278,BRONZE,10,0,21837,0,0,0,,1,-4880,1,0,0,0,0,0,0
279,BRONZE,11,1,27679,2,1,1,FIRE_DRAGON,1,7993,1,2,1,0,1,0,1
280,BRONZE,8,1,20661,0,1,1,FIRE_DRAGON,0,496,0,1,1,0,0,0,1
281,BRONZE,13,1,24272,0,0,1,EARTH_DRAGON,0,2352,0,1,0,0,0,1,1
282,BRONZE,10,0,21716,1,1,0,,0,-1558,0,0,0,0,0,0,0
283,BRONZE,4,0,20858,0,1,0,,0,486,0,1,1,0,0,0,1
284,BRONZE,4,0,19663,0,0,0,,0,-4981,0,0,0,0,0,0,0
285,BRONZE,10,1,22824,0,0,0,,0,-1363,0,1,0,0,1,0,0
286,BRONZE,8,1,21766,0,0,0,,0,-2568,0,0,0,0,0,0,0
287,BRONZE,10,0,19965,0,0,1,EARTH_DRAGON,0,-10359,0,1,0,0,0,1,0
288,BRONZE,11,1,22729,0,0,0,,0,1055,0,1,0,0,0,1,1
289,BRONZE,3,0,19609,0,0,1,AIR_DRAGON,0,-3676,0,1,0,0,1,0,1
290,BRONZE,11,1,20332,0,0,0,,0,-1031,0,0,0,0,0,0,0
291,BRONZE,12,1,24130,0,1,1,FIRE_DRAGON,1,3876,1,1,1,0,0,0,1
292,BRONZE,10,1,22530,0,0,1,EARTH_DRAGON,0,-2016,0,1,0,0,0,1,1
293,BRONZE,15,1,26766,2,1,1,WATER_DRAGON,1,5486,1,1,0,1,0,0,1
294,BRONZE,7,1,23423,0,1,1,FIRE_DRAGON,1,2747,0,1,1,0,0,0,1
295,BRONZE,11,1,21913,0,1,0,,0,-1330,0,0,0,0,0,0,1
296,BRONZE,15,1,26514,1,1,0,,1,8148,0,0,0,0,0,0,1
297,BRONZE,7,1,22615,0,0,0,,0,-383,0,0,0,0,0,0,0
298,BRONZE,5,0,21101,0,1,1,AIR_DRAGON,1,-641,0,1,0,0,1,0,1
299,BRONZE,6,1,22579,1,0,1,WATER_DRAGON,0,-733,0,1,0,1,0,0,0
